qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,31687,11238,42925
res_a_001,ABCD,871,400,1271
res_a_002,ABCD,868,400,1268
res_a_003,B,3449,1593,5042
res_a_004,ABCD,859,400,1259
res_a_005,ABCD,858,400,1258
res_a_006,B,826,400,1226
res_a_007,ABCD,858,400,1258
res_a_008,A,3456,746,4202
res_a_009,ABCD,855,400,1255
res_a_010,A,3011,416,3427
res_a_011,ABCD,876,400,1276
res_a_012,ABCD,849,400,1249
res_a_013,B,3064,826,3890
res_a_014,ABCD,852,400,1252
res_a_015,A,3551,958,4509
res_a_016,ABCD,899,400,1299
res_a_017,ABCD,870,400,1270
res_a_018,B,3052,1099,4151
res_a_019,ABCD,878,400,1278
res_a_020,ABCD,885,400,1285
